Measurement,Grouping,Height,Canopy_Position,mean,std,count
Coverage_Rate,Height×Canopy_Position,5ft,Top,0.1736,0.14207146089204545,5
Coverage_Rate,Height×Canopy_Position,5ft,Mid,0.2132,0.2673512670626418,5
Coverage_Rate,Height×Canopy_Position,5ft,Bot,0.0646,0.024774987386475097,5
Coverage_Rate,Height×Canopy_Position,10ft,Top,4.6008,4.756329435604728,5
Coverage_Rate,Height×Canopy_Position,10ft,Mid,0.8400000000000001,1.1627269670907268,5
Coverage_Rate,Height×Canopy_Position,10ft,Bot,0.1414,0.09252729327068852,5
Coverage_Rate,Height×Canopy_Position,15ft,Top,1.2084,1.2293283938801707,5
Coverage_Rate,Height×Canopy_Position,15ft,Mid,0.8948,0.9928422331871262,5
Coverage_Rate,Height×Canopy_Position,15ft,Bot,0.5574,0.3197894619902288,5
Coverage_Density,Height×Canopy_Position,5ft,Top,0.021088,0.006012126911501453,5
Coverage_Density,Height×Canopy_Position,5ft,Mid,0.021116,0.011022764172384347,5
Coverage_Density,Height×Canopy_Position,5ft,Bot,0.01222,0.0023503723109328865,5
Coverage_Density,Height×Canopy_Position,10ft,Top,0.086538,0.06136306763844194,5
Coverage_Density,Height×Canopy_Position,10ft,Mid,0.032678,0.02259632093948039,5
Coverage_Density,Height×Canopy_Position,10ft,Bot,0.014922000000000001,0.00832768395173592,5
Coverage_Density,Height×Canopy_Position,15ft,Top,0.07722799999999999,0.08032960954716512,5
Coverage_Density,Height×Canopy_Position,15ft,Mid,0.09181,0.08689196654466971,5
Coverage_Density,Height×Canopy_Position,15ft,Bot,0.059444,0.04384011952538451,5
Droplet_Count,Height×Canopy_Position,5ft,Top,40.8,11.476062042355817,5
Droplet_Count,Height×Canopy_Position,5ft,Mid,41.0,21.295539439046852,5
Droplet_Count,Height×Canopy_Position,5ft,Bot,23.6,4.505552130427524,5
Droplet_Count,Height×Canopy_Position,10ft,Top,169.0,120.07081243999309,5
Droplet_Count,Height×Canopy_Position,10ft,Mid,63.2,43.797260188281186,5
Droplet_Count,Height×Canopy_Position,10ft,Bot,29.0,16.015617378046965,5
Droplet_Count,Height×Canopy_Position,15ft,Top,151.6,158.17806421877845,5
Droplet_Count,Height×Canopy_Position,15ft,Mid,177.8,167.22350313278335,5
Droplet_Count,Height×Canopy_Position,15ft,Bot,114.8,84.07853471606174,5
